elemento1;elemento2;qtdAlg;min;max;med
6858;7852;18;0.9199909845302845;0.9666666686534882;0.9367369888598964
100170;100358;16;0.9333333373069763;0.9833333343267441;0.9559858118021942
10230;8029;17;0.9333333373069763;0.9916666746139526;0.9561672501729679
4395;8725;17;0.9444444477558136;0.9777777791023254;0.9604513680209479
8344;9229;17;0.9570707082748413;1.0;0.9777294784568795
10230;6858;17;0.9335664510726929;1.0;0.9539258375200402
4895;9209;17;0.9285714328289032;1.0;0.9697103497126828
2619;6174;17;0.9375;1.0;0.9716583191247511
10383;6858;17;0.9247086197137833;0.9666666686534882;0.9364615438115602
10230;7852;17;0.9333333373069763;0.9916666746139526;0.9574277542995167
5835;9278;16;0.9583333283662796;1.0;0.9895833320915699
9348;9485;18;0.9672618997948511;1.0;0.9912367722108252
5238;8297;17;0.9167303144931794;0.9711538404226303;0.9460497591194612
7123;9038;17;0.9137931034482759;1.0;0.9614509708919567
4843;8794;16;0.9333333373069763;1.0;0.9699627634650771
9588;9811;18;0.9375;1.0;0.9735321862817918
7094;9189;11;0.9023809432983398;1.0;0.9568436943259635
11150;8901;18;0.9233716469386528;1.0;0.987265236667583
7161;8131;16;0.9629629552364349;1.0;0.9776546409171398
3192;7923;17;0.949999988079071;1.0;0.9773266498940544
6858;8029;18;0.9199909845302845;0.9666666686534882;0.9355465127403781
10301;6246;17;0.9285714328289032;1.0;0.9697103497126828
5577;8990;17;0.9427083283662796;1.0;0.9763607874337848
10230;10383;17;0.9333333373069763;0.9916666746139526;0.9561672501729679
5360;8430;14;0.9001748263835907;0.9501748234033585;0.9137298843975702
3475;8592;16;0.9444444477558136;0.9809027835726738;0.9620377738591158
4975;5889;18;0.9037819802761079;1.0;0.960535793257058
7037;7237;17;0.9172692232661777;0.980158731341362;0.9394676801024741
8609;9130;18;0.907586203566913;1.0;0.9825634655645133
4348;7170;17;0.9030193156666226;0.982993198292596;0.9316492550930572
9421;9489;17;0.949999988079071;1.0;0.978072810821028
10000;8664;10;0.8965277820825577;0.96875;0.9291503985218956
7515;8151;10;0.9029720276594162;0.9711538404226303;0.9251412528688494
6314;8464;12;0.9193363785743713;0.9736842066049576;0.9378941585991584
11455;5289;8;0.8642534017562866;0.9411764740943909;0.8931733292082081
4179;4732;11;0.9000000059604645;0.9722222238779068;0.9359342252600859
2366;2367;7;0.8708333373069763;0.9091787338256836;0.8883879638853527
103398;107056;3;0.8640872985124588;0.8849206268787384;0.8728632430235544
3792;8891;10;0.8938405811786652;0.9411458354443312;0.9100505768685885
5025;9863;10;0.8791666626930237;0.9821428528853825;0.9100892813818426
7525;8995;9;0.8812499940395355;0.9406249970197679;0.9055368606217955
7344;8291;11;0.9161184132099152;0.9580592066049577;0.9314787299219017
4179;4911;11;0.9000000059604645;0.9722222238779068;0.9359342252600859
2823;4684;11;0.9041537642478943;0.960526317358017;0.9301078521078441
7622;8349;14;0.9117647111415863;1.0;0.9544652326552958
3670;7515;12;0.9347826242446899;0.9680706560611726;0.9470516268925775
7653;7852;9;0.8819444477558136;0.951098904013634;0.9221418119139142
6858;7653;9;0.8306915313005447;0.9111111164093018;0.8670722299311349
3670;4441;14;0.9347826242446899;0.9680706560611726;0.9477235275334712
4441;8151;10;0.9029720276594162;0.9711538404226303;0.9251412528688494
3670;8151;10;0.8513986021280289;0.9423076957464218;0.8840001191242018
7794;8890;11;0.9299242496490479;0.9924242496490479;0.9456850349981637
7794;9063;12;0.888293668627739;0.961904764175415;0.9194450194686677
7540;8823;9;0.8745819330215454;0.9615384638309479;0.9045793031903008
10230;7653;9;0.8534188121557236;0.9159340709447862;0.8842528973512604
10383;7653;9;0.8819444477558136;0.9725274741649628;0.9245227641529508
6802;7794;12;0.8666381147401085;0.961904764175415;0.9122611114226907
7653;8029;9;0.8819444477558136;0.9725274741649628;0.9245227641529508
6382;7920;13;0.9375;1.0;0.9595294500185805
3383;6969;13;0.894173875451088;0.9918831139802933;0.935122972492728
6922;9161;12;0.9000000059604645;0.9612068965517242;0.9256402115866122
6547;6741;14;0.9000000059604645;1.0;0.9474921256148823
6102;9115;15;0.9443241889987674;1.0;0.9888808723006929
5664;8717;13;0.9134199108396258;1.0;0.9933399931415097
6382;8494;16;0.9336734733411244;1.0;0.9786631824975254
108408;108563;2;1.0;1.0;1.0
10314;8640;5;0.9333333373069763;1.0;0.9658297296081271
8306;8663;2;0.9666666686534882;0.9666666686534882;0.9666666686534882
10314;2427;5;0.8941337764263153;0.9399671107530594;0.9198867495570864
101564;108252;3;0.9325396865606308;0.9821428507566452;0.9656084626913071
3096;3123;5;0.9444444328546524;0.9761904776096344;0.9600840279034205
7288;7483;14;0.9137931034482759;1.0;0.9921889256038438
9327;9412;14;0.9060344809088214;1.0;0.990819447854092
10449;6162;15;0.9375;1.0;0.9896825394460134
104097;109733;2;0.9186813235282898;0.9186813235282898;0.9186813235282898
3086;3215;2;1.0;1.0;1.0
102666;105709;2;0.9744245558977127;0.9744245558977127;0.9744245558977127
4108;7977;11;0.9415983706712723;1.0;0.970636269342699
5010;5205;12;0.9210526347160339;0.9698464944958687;0.9510230125701976
102987;107521;1;0.8541666567325592;0.8541666567325592;0.8541666567325592
7920;8494;12;0.8906746208667755;0.9923371754843613;0.9410510639415808
100558;107734;1;0.7694804966449738;0.7694804966449738;0.7694804966449738
105349;107734;1;0.886363610625267;0.886363610625267;0.886363610625267
100558;105349;1;0.7376623451709747;0.7376623451709747;0.7376623451709747
100717;104310;2;0.824765533208847;0.8482142984867096;0.8364899158477783
