Algoritmo,Start Time,End Time,Runtime in ms,Max. Memory in KB,Min. Memory in KB,Avg. Memory in KB,Number of Data Records,Number of Comparison Candidates,Number of created pairs,Number of actual comparisons,Reduction Ratio,Number of real Duplicates,Precision,Recall,F-Measure,True Positives,False Positives,True Negatives,False Negatives,Precision based on actual comparisons,Recall based on actual comparisons,F-Measure based on actual comparisons,Reduction Ratio based on actual comparisons,True Positives based on actual comparisons,False Positives based on actual comparisons,True Negatives based on actual comparisons,False Negatives based on actual comparisons
"Alg16,Tue Nov 06 13:50:55 BRT 2018,Tue Nov 06 13:50:58 BRT 2018,3017,413550,413550,413550,864,372816,372822,372822,""-0,000016093729883"",112,""0,85981308411215"",""0,821428571428571"",""0,840182648401826"",92,15,372689,20,""0,85981308411215"",""0,821428571428571"",""0,840182648401826"",""-0,000016093729883"",92,15,372694,21"
"Alg17,Tue Nov 06 14:01:07 BRT 2018,Tue Nov 06 14:01:10 BRT 2018,3172,321094,321094,321094,864,372816,372847,372847,""-0,000083150937728"",112,""0,602836879432624"",""0,758928571428571"",""0,671936758893281"",85,56,372648,27,""0,602836879432624"",""0,758928571428571"",""0,671936758893281"",""-0,000083150937728"",85,56,372679,27"
"Alg18,Tue Nov 06 14:02:36 BRT 2018,Tue Nov 06 14:02:39 BRT 2018,3209,300437,300437,300437,864,372816,372816,372816,0,112,""0,714285714285714"",""0,758928571428571"",""0,735930735930736"",85,34,372670,27,""0,714285714285714"",""0,758928571428571"",""0,735930735930736"",0,85,34,372670,27"
"Alg19,Tue Nov 06 14:03:15 BRT 2018,Tue Nov 06 14:03:18 BRT 2018,3181,307046,307046,307046,864,372816,372816,372816,0,112,""0,91304347826087"",""0,75"",""0,823529411764706"",84,8,372696,28,""0,91304347826087"",""0,75"",""0,823529411764706"",0,84,8,372696,28"
"Alg20,Tue Nov 06 14:45:32 BRT 2018,Tue Nov 06 14:45:45 BRT 2018,12378,380803,259263,316145,864,372816,372854,372854,""-0,000101926955925"",112,""0,393162393162393"",""0,410714285714286"",""0,40174672489083"",46,71,372633,66,""0,393162393162393"",""0,410714285714286"",""0,40174672489083"",""-0,000101926955925"",46,71,372671,66"
"Alg21,Tue Nov 06 14:29:36 BRT 2018,Tue Nov 06 14:29:39 BRT 2018,2132,74272,74272,74272,864,372816,372853,372853,""-0,000099244667611"",112,""0,587878787878788"",""0,866071428571429"",""0,700361010830325"",97,68,372636,15,""0,587878787878788"",""0,866071428571429"",""0,700361010830325"",""-0,000099244667611"",97,68,372673,15"
"Alg22,Tue Nov 06 14:31:17 BRT 2018,Tue Nov 06 14:31:20 BRT 2018,2128,207675,207675,207675,864,372816,372816,372816,0,112,""0,978021978021978"",""0,794642857142857"",""0,876847290640394"",89,2,372702,23,""0,978021978021978"",""0,794642857142857"",""0,876847290640394"",0,89,2,372702,23"
"Alg23,Tue Nov 06 14:32:04 BRT 2018,Tue Nov 06 14:32:06 BRT 2018,2118,84469,84469,84469,864,372816,372816,372816,0,112,975,""0,696428571428571"",""0,8125"",78,2,372702,34,975,""0,696428571428571"",""0,8125"",0,78,2,372702,34"
"Alg24,Tue Nov 06 14:33:16 BRT 2018,Tue Nov 06 14:33:19 BRT 2018,2130,217419,217419,217419,864,372816,372816,372816,0,112,""0,969072164948454"",""0,839285714285714"",""0,899521531100478"",94,3,372701,18,""0,969072164948454"",""0,839285714285714"",""0,899521531100478"",0,94,3,372701,18"
"Alg25,Tue Nov 06 14:34:37 BRT 2018,Tue Nov 06 14:34:39 BRT 2018,2184,31859,31859,31859,864,372816,372818,372818,""-0,000005364576628"",112,""0,925925925925926"",""0,892857142857143"",""0,909090909090909"",100,8,372696,12,""0,925925925925926"",""0,892857142857143"",""0,909090909090909"",""-0,000005364576628"",100,8,372698,12"
"Alg26,Tue Nov 06 14:36:11 BRT 2018,Tue Nov 06 14:36:13 BRT 2018,2168,189641,189641,189641,864,372816,372838,372838,""-0,000059010342904"",112,""0,677852348993289"",""0,901785714285714"",""0,773946360153257"",101,48,372656,11,""0,677852348993289"",""0,901785714285714"",""0,773946360153257"",""-0,000059010342904"",101,48,372678,11"
"Alg27,Tue Nov 06 14:38:14 BRT 2018,Tue Nov 06 14:38:17 BRT 2018,2399,177292,177292,177292,864,372816,372821,372821,""-0,000013411441569"",112,""0,88"",""0,785714285714286"",""0,830188679245283"",88,12,372692,24,""0,88"",""0,785714285714286"",""0,830188679245283"",""-0,000013411441569"",88,12,372696,25"
"Alg28,Tue Nov 06 14:39:51 BRT 2018,Tue Nov 06 14:39:53 BRT 2018,2207,280286,280286,280286,864,372816,372819,372819,""-0,000008046864941"",112,""0,911504424778761"",""0,919642857142857"",""0,915555555555556"",103,10,372694,9,""0,911504424778761"",""0,919642857142857"",""0,915555555555556"",""-0,000008046864941"",103,10,372697,9"
"Alg29,Tue Nov 06 14:40:31 BRT 2018,Tue Nov 06 14:40:33 BRT 2018,2162,44989,44989,44989,864,372816,372822,372822,""-0,000016093729883"",112,""0,84"",""0,9375"",""0,886075949367089"",105,20,372684,7,""0,84"",""0,9375"",""0,886075949367089"",""-0,000016093729883"",105,20,372690,7"
"Alg30,Tue Nov 06 14:49:55 BRT 2018,Tue Nov 06 14:49:57 BRT 2018,2332,100686,100686,100686,864,372816,372816,372816,0,112,""0,988888888888889"",""0,794642857142857"",""0,881188118811881"",89,1,372703,23,""0,988888888888889"",""0,794642857142857"",""0,881188118811881"",0,89,1,372703,23"
"Alg31,Tue Nov 06 14:55:13 BRT 2018,Tue Nov 06 14:55:15 BRT 2018,2395,434876,434876,434876,864,372816,372871,372871,""-0,000147525857259"",112,""0,508196721311475"",""0,830357142857143"",""0,630508474576271"",93,90,372614,19,""0,508196721311475"",""0,830357142857143"",""0,630508474576271"",""-0,000147525857259"",93,90,372669,19"
"Alg32,Tue Nov 06 14:56:53 BRT 2018,Tue Nov 06 14:56:56 BRT 2018,3002,372476,372476,372476,864,372816,372817,372817,""-0,000002682288314"",112,""0,611111111111111"",""0,196428571428571"",""0,297297297297297"",22,14,372690,90,""0,611111111111111"",""0,196428571428571"",""0,297297297297297"",""-0,000002682288314"",22,14,372691,90"
"Alg33,Tue Nov 06 14:58:35 BRT 2018,Tue Nov 06 14:58:38 BRT 2018,2910,475221,475221,475221,864,372816,372844,372844,""-0,000075104072787"",112,""0,239130434782609"",""0,196428571428571"",""0,215686274509804"",22,70,372634,90,""0,239130434782609"",""0,196428571428571"",""0,215686274509804"",""-0,000075104072787"",22,70,372662,90"
"Alg34,Tue Nov 06 15:00:28 BRT 2018,Tue Nov 06 15:00:31 BRT 2018,2898,475283,475283,475283,864,372816,372817,372817,""-0,000002682288314"",112,""0,769230769230769"",""0,178571428571429"",""0,289855072463768"",20,6,372698,92,""0,769230769230769"",""0,178571428571429"",""0,289855072463768"",""-0,000002682288314"",20,6,372699,92"
"Alg35,Tue Nov 06 15:01:57 BRT 2018,Tue Nov 06 15:02:00 BRT 2018,2940,465375,465375,465375,864,372816,372897,372897,""-0,000217265353418"",112,""0,326446280991736"",""0,705357142857143"",""0,446327683615819"",79,163,372541,33,""0,326446280991736"",""0,705357142857143"",""0,446327683615819"",""-0,000217265353418"",79,163,372620,35"
"Alg36,Tue Nov 06 15:03:21 BRT 2018,Tue Nov 06 15:03:24 BRT 2018,2939,321571,321571,321571,864,372816,372999,372999,""-0,000490858761427"",112,""0,209068010075567"",""0,741071428571429"",""0,326129666011788"",83,314,372390,29,""0,209068010075567"",""0,741071428571429"",""0,326129666011788"",""-0,000490858761427"",83,314,372571,31"
