1858;9637;ok
2004;3710;ok
2187;2418;ok
10314;2427;ok
2807;7064;ok
3096;3123;ok
3670;8151;ok
4179;4911;ok
4851;7708;ok
6102;9115;ok
6162;10449;NÃO ACHOU
6210;11531;ok
6246;10301;NÃO ACHOU
6272;7460;ok
6272;8578;ok
6314;8464;ok
6316;7311;ok
6339;7517;ok
6354;8424;ok
6358;9694;ok
6374;9777;ok
6382;7920;ok
6382;8494;ok
6413;7975;ok
6423;7428;ok
6506;6952;ok
6547;6741;ok
6562;8870;ok
6568;9557;ok
6620;7622;ok
6620;8349;ok
6663;6665;ok
6719;8453;ok
6722;7707;ok
6737;7722;ok
6740;9193;ok
6756;8537;ok
6761;10361;NÃO ACHOU
6761;7869;ok
6771;8507;ok
6788;7563;ok
6798;9068;ok
6802;7794;ok
6802;8890;ok
6802;9063;ok
6811;7429;ok
6858;10230;NÃO ACHOU
6858;10383;NÃO ACHOU
6858;7653;ok
6858;7852;ok
6858;8029;ok
6919;8060;ok
6922;9161;ok
6925;6926;ok
6944;7731;ok
6944;9868;ok
6948;7365;ok
6992;7802;ok
7008;8831;ok
200000;200000;NÃO ACHOU
