Algoritmo;Start Time;End Time;Runtime in ms;Max. Memory in KB;Min. Memory in KB;Avg. Memory in KB;Number of Data Records;Number of Comparison Candidates;Number of created pairs;Number of actual comparisons;Reduction Ratio;Number of real Duplicates;Precision;Recall;F-Measure;True Positives;False Positives;True Negatives;False Negatives;Precision based on actual comparisons;Recall based on actual comparisons;F-Measure based on actual comparisons;Reduction Ratio based on actual comparisons;True Positives based on actual comparisons;False Positives based on actual comparisons;True Negatives based on actual comparisons;False Negatives based on actual comparisons
Alg19;Wed Oct 31 14:00:25 BRT 2018;Wed Oct 31 14:01:30 BRT 2018;64409;1,251,914;52,388;413,590;4910;6001104;6001104;6001104;0;2224;0,908292682926829;0,418615107913669;0,573099415204678;931;94;5998786;1293;0,908292682926829;0,418615107913669;0,573099415204678;0;931;94;5998786;1293
Alg20;Wed Oct 31 14:00:05 BRT 2018;Wed Oct 31 14:01:39 BRT 2018;94528;1,336,637;10,146;262,697;4910;6001104;6001104;6001104;0;2224;0,861929520508377;0,670863309352518;0,75448798988622;1492;239;5998641;732;0,861929520508377;0,670863309352518;0,75448798988622;0;1492;239;5998641;732
Alg21;Wed Oct 31 13:32:54 BRT 2018;Wed Oct 31 13:37:33 BRT 2018;279158;1,123,493;11,889;113,438;4910;6001104;6001104;6001104;0;2224;0,888381742738589;0,962679856115108;0,924039706517048;2141;269;5998611;83;0,888381742738589;0,962679856115108;0,924039706517048;0;2141;269;5998611;83
Alg22;Wed Oct 31 13:38:44 BRT 2018;Wed Oct 31 13:42:46 BRT 2018;241836;992,228;17,454;177,365;4910;6001104;6001104;6001104;0;2224;0,658973580321895;0,975719424460432;0,786659416349465;2170;1123;5997757;54;0,658973580321895;0,975719424460432;0,786659416349465;0;2170;1123;5997757;54
Alg23;Wed Oct 31 13:31:55 BRT 2018;Wed Oct 31 13:34:11 BRT 2018;136200;183,797;9,877;54,327;4910;6001104;6001104;6001104;0;2224;0,935269709543568;0,506744604316547;0,657334499854185;1127;78;5998802;1097;0,935269709543568;0,506744604316547;0,657334499854185;0;1127;78;5998802;1097
Alg24;Wed Oct 31 13:40:51 BRT 2018;Wed Oct 31 13:44:47 BRT 2018;235481;1,259,052;9,491;224,385;4910;6001104;6001104;6001104;0;2224;0,904962153069807;0,483812949640288;0,630530325227073;1076;113;5998767;1148;0,904962153069807;0,483812949640288;0,630530325227073;0;1076;113;5998767;1148
Alg25;Wed Oct 31 13:41:42 BRT 2018;Wed Oct 31 13:42:57 BRT 2018;75057;859,066;19,036;314,174;4910;6001104;6001104;6001104;0;2224;0,644254278728606;0,473920863309353;0,546113989637306;1054;582;5998298;1170;0,644254278728606;0,473920863309353;0,546113989637306;0;1054;582;5998298;1170
Alg26;Wed Oct 31 13:38:09 BRT 2018;Wed Oct 31 13:39:13 BRT 2018;64582;998,800;21,007;320,459;4910;6001104;6001104;6001104;0;2224;0,553146483342147;0,470323741007194;0,508383961117862;1046;845;5998035;1178;0,553146483342147;0,470323741007194;0,508383961117862;0;1046;845;5998035;1178
Alg27;Wed Oct 31 13:59:41 BRT 2018;Wed Oct 31 14:01:46 BRT 2018;124626;894,933;8,428;189,516;4910;6001104;6001104;6001104;0;2224;0,329801324503311;0,335881294964029;0,332813544219203;747;1518;5997362;1477;0,329801324503311;0,335881294964029;0,332813544219203;0;747;1518;5997362;1477
Alg28;Wed Oct 31 13:57:28 BRT 2018;Wed Oct 31 13:59:35 BRT 2018;126904;135,259;13,537;56,969;4910;6001104;6001104;6001104;0;2224;0,921713441654357;0,561151079136691;0,697596422582448;1248;106;5998774;976;0,921713441654357;0,561151079136691;0,697596422582448;0;1248;106;5998774;976
Alg29;Wed Oct 31 13:58:39 BRT 2018;Wed Oct 31 14:01:21 BRT 2018;162561;737,265;18,244;136,288;4910;6001104;6001104;6001104;0;2224;0,643475366178429;0,869154676258993;0,739479724560061;1933;1071;5997809;291;0,643475366178429;0,869154676258993;0,739479724560061;0;1933;1071;5997809;291
Alg30;Wed Oct 31 13:56:07 BRT 2018;Wed Oct 31 13:57:43 BRT 2018;96567;1,118,501;12,837;292,305;4910;6001104;6001104;6001104;0;2224;0,725698324022346;0,58408273381295;0,647234678624813;1299;491;5998389;925;0,725698324022346;0,58408273381295;0,647234678624813;0;1299;491;5998389;925
Alg31;Wed Oct 31 14:00:41 BRT 2018;Wed Oct 31 14:04:41 BRT 2018;239446;602,414;10,029;171,498;4910;6001104;6001104;6001104;0;2224;0,970724191063174;0,283273381294964;0,43856595892795;630;19;5998861;1594;0,970724191063174;0,283273381294964;0,43856595892795;0;630;19;5998861;1594
Alg32;Thu Aug 10 06:15:12 BRT 2017;Thu Aug 10 06:18:47 BRT 2017;214911;545,627;14,925;104,906;4910;6001104;6001104;6001104;0;2224;0,899576271186441;0,954586330935252;0,926265270506108;2123;237;5998643;101;0,899576271186441;0,954586330935252;0,926265270506108;0;2123;237;5998643;101
