abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;23;1;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
AS;only;23;1;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;23;1;2;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
AS;only;23;1;3;78;0.9887640449438202;0.5886287625418061;0.7379454926624739;106;72;6;176;2;47652902;123
AS;only;23;1;4;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;23;1;5;105;0.9896907216494846;0.6421404682274248;0.7789046653144017;106;88;17;192;2;47652902;107
AS;only;23;1;6;390;0.9900497512437811;0.6655518394648829;0.796;105;96;294;199;2;47652902;100
AS;only;23;1;7;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;23;1;8;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;23;1;9;400;0.9903846153846154;0.6889632107023411;0.8126232741617356;103;105;295;206;2;47652902;93
AS;only;23;1;10;578;0.991869918699187;0.8160535117056856;0.8954128440366973;100;146;432;244;2;47652902;55
AS;only;23;1;11;578;0.991869918699187;0.8160535117056856;0.8954128440366973;100;146;432;244;2;47652902;55
AS;only;23;1;12;596;0.9922779922779923;0.8595317725752508;0.9211469534050178;100;159;437;257;2;47652902;42
AS;only;23;1;13;596;0.9922779922779923;0.8595317725752508;0.9211469534050178;100;159;437;257;2;47652902;42
AS;only;23;1;14;626;0.9961240310077519;0.8595317725752508;0.9228007181328546;70;188;438;257;1;47652903;42
AS;only;23;1;15;967;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;773;263;1;47652903;36
AS;only;23;1;16;992;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;798;263;1;47652903;36
AS;only;23;1;17;1005;0.9962264150943396;0.882943143812709;0.9361702127659574;70;195;810;264;1;47652903;35
AS;only;23;1;18;1008;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;810;265;1;47652903;34
AS;only;23;1;19;1008;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;810;265;1;47652903;34
AS;only;23;1;20;1065;1.0;0.8896321070234113;0.9415929203539823;57;209;856;266;0;47652904;33
AS;only;23;1;21;1083;1.0;0.8896321070234113;0.9415929203539823;57;209;874;266;0;47652904;33
AS;only;23;1;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
AS;only;10;1;0;0;0.9781021897810219;0.44816053511705684;0.6146788990825688;137;0;0;134;3;47652901;165
AS;only;10;1;1;60;0.9835164835164835;0.5986622073578596;0.7442827442827443;137;45;15;179;3;47652901;120
AS;only;10;1;2;74;0.9846153846153847;0.6421404682274248;0.7773279352226722;137;58;16;192;3;47652901;107
AS;only;10;1;3;79;0.9846153846153847;0.6421404682274248;0.7773279352226722;132;63;16;192;3;47652901;107
AS;only;10;1;4;79;0.9846153846153847;0.6421404682274248;0.7773279352226722;132;63;16;192;3;47652901;107
AS;only;10;1;5;268;0.9876543209876543;0.802675585284281;0.885608856088561;129;114;154;240;3;47652901;59
AS;only;10;1;6;288;0.9883720930232558;0.8528428093645485;0.9156193895870736;129;129;159;255;3;47652901;44
AS;only;10;1;7;347;0.99609375;0.8528428093645485;0.9189189189189189;70;186;161;255;1;47652903;44
AS;only;10;1;8;353;0.9961389961389961;0.862876254180602;0.9247311827956988;68;191;162;258;1;47652903;41
AS;only;10;1;9;380;1.0;0.862876254180602;0.9263913824057451;42;216;164;258;0;47652904;41
AS;only;15;1;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
AS;only;15;1;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;15;1;2;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
AS;only;15;1;3;78;0.9887640449438202;0.5886287625418061;0.7379454926624739;106;72;6;176;2;47652902;123
AS;only;15;1;4;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;15;1;5;96;0.9890710382513661;0.6053511705685619;0.7510373443983402;103;80;16;181;2;47652902;118
AS;only;15;1;6;138;0.9908675799086758;0.725752508361204;0.8378378378378378;103;116;22;217;2;47652902;82
AS;only;15;1;7;170;0.9954128440366973;0.725752508361204;0.8394584139264991;71;147;23;217;1;47652903;82
AS;only;15;1;8;572;0.9959183673469387;0.8160535117056856;0.8970588235294118;71;174;398;244;1;47652903;55
AS;only;15;1;9;605;0.9959349593495935;0.8193979933110368;0.8990825688073395;71;175;430;245;1;47652903;54
AS;only;15;1;10;630;0.9961089494163424;0.8561872909698997;0.9208633093525181;71;186;444;256;1;47652903;43
AS;only;15;1;11;633;0.9961240310077519;0.8595317725752508;0.9228007181328546;69;189;444;257;1;47652903;42
AS;only;15;1;12;633;0.9961240310077519;0.8595317725752508;0.9228007181328546;69;189;444;257;1;47652903;42
AS;only;15;1;13;652;0.9961389961389961;0.862876254180602;0.9247311827956988;69;190;462;258;1;47652903;41
AS;only;15;1;14;678;1.0;0.862876254180602;0.9263913824057451;43;215;463;258;0;47652904;41
AS;only;20;1;0;0;0.9761904761904762;0.5484949832775919;0.702355460385439;168;0;0;164;4;47652900;135
