Algoritmo,Start Time,End Time,Runtime in ms,Max. Memory in KB,Min. Memory in KB,Avg. Memory in KB,Number of Data Records,Number of Comparison Candidates,Number of created pairs,Number of actual comparisons,Reduction Ratio,Number of real Duplicates,Precision,Recall,F-Measure,True Positives,False Positives,True Negatives,False Negatives,Precision based on actual comparisons,Recall based on actual comparisons,F-Measure based on actual comparisons,Reduction Ratio based on actual comparisons,True Positives based on actual comparisons,False Positives based on actual comparisons,True Negatives based on actual comparisons,False Negatives based on actual comparisons
Alg24,Wed Nov 07 15:28:50 BRT 2018,Wed Nov 07 15:29:30 BRT 2018,39877,898935,343454,584399,1879,1764381,1708971,1708971,"0,031404781620296",64578,"0,871642489471221","0,288441884233021","0,433448131428306",18627,2743,1697060,45951,"0,871642489471221","0,288441884233021","0,433448131428306","0,031404781620296",18627,2743,1636381,51220
Alg25,Wed Nov 07 15:32:38 BRT 2018,Wed Nov 07 15:33:20 BRT 2018,41925,883365,76211,416542,1879,1764381,1705617,1705617,"0,033305731585185",64578,1,"0,195561956084115","0,327146502260158",12629,0,1699803,51949,1,"0,195561956084115","0,327146502260158","0,033305731585185",12629,0,1637729,55259
Alg26,Wed Nov 07 15:40:45 BRT 2018,Wed Nov 07 15:41:32 BRT 2018,47449,1109752,158965,486710,1879,1764381,1715018,1715018,"0,027977517327607",64578,1,"0,509275604695097","0,674860977161266",32888,0,1699803,31690,1,"0,509275604695097","0,674860977161266","0,027977517327607",32888,0,1637729,44401
Alg27,Wed Nov 07 15:38:49 BRT 2018,Wed Nov 07 15:39:31 BRT 2018,41200,1086587,259698,548871,1879,1764381,1703629,1703629,"0,034432472351493",64578,1,"0,127969277462913","0,226902061997199",8264,0,1699803,56314,1,"0,127969277462913","0,226902061997199","0,034432472351493",8264,0,1637729,57636
Alg28,Wed Nov 07 15:39:50 BRT 2018,Wed Nov 07 15:40:33 BRT 2018,42958,857606,104127,323358,1879,1764381,1705388,1705388,"0,033435522146294",64578,"0,973926597704407","0,212858868345257","0,349362069841915",13746,368,1699435,50832,"0,973926597704407","0,212858868345257","0,349362069841915","0,033435522146294",13746,368,1637447,53827
Alg29,Wed Nov 07 15:43:15 BRT 2018,Wed Nov 07 15:44:12 BRT 2018,57376,1016786,114060,355479,1879,1764381,1719830,1719830,"0,025250215231291",64578,"0,921072949065802","0,646582427452074","0,759796562673436",41755,3578,1696225,22823,"0,921072949065802","0,646582427452074","0,759796562673436","0,025250215231291",41755,3578,1636664,37833
Alg30,Wed Nov 07 15:51:15 BRT 2018,Wed Nov 07 15:51:59 BRT 2018,44316,884269,113805,401428,1879,1764381,1704397,1704397,"0,03399719221642",64578,1,"0,219951066926817","0,360589982483308",14204,0,1699803,50374,1,"0,219951066926817","0,360589982483308","0,03399719221642",14204,0,1637729,52464
Alg31,Wed Nov 07 15:48:22 BRT 2018,Wed Nov 07 15:48:47 BRT 2018,24664,473637,85493,262166,1879,1764381,1705622,1705622,"0,033302897730139",64578,"0,994295263339864","0,267196258787822","0,421202948786799",17255,99,1699704,47323,"0,994295263339864","0,267196258787822","0,421202948786799","0,033302897730139",17255,99,1637630,50638
Alg32,Wed Nov 07 15:51:41 BRT 2018,Wed Nov 07 15:51:56 BRT 2018,15693,243213,176263,211751,1879,1764381,1700046,1700046,"0,036463212877491",64578,"0,985197716219074","0,072145312645173","0,134445294126134",4659,70,1699733,59919,"0,985197716219074","0,072145312645173","0,134445294126134","0,036463212877491",4659,70,1637659,57658
Alg33,Wed Nov 07 15:54:00 BRT 2018,Wed Nov 07 15:54:29 BRT 2018,29289,1259732,161005,623944,1879,1764381,1707144,1707144,"0,032440272254122",64578,"0,990149276350686","0,202344451670848","0,336020572163292",13067,130,1699673,51511,"0,990149276350686","0,202344451670848","0,336020572163292","0,032440272254122",13067,130,1637641,56306
Alg34,Wed Nov 07 15:59:32 BRT 2018,Wed Nov 07 16:01:04 BRT 2018,92164,1171983,105422,636260,1879,1764381,1756876,1756876,"0,004253616424117",64578,"0,868536935332245","0,815478955681501","0,84117210149268",52662,7971,1691832,11916,"0,868536935332245","0,815478955681501","0,84117210149268","0,004253616424117",52662,7971,1673754,22489
Alg35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alg36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alg37,,,,,,,,,,,,,,,,,,,,,,,,,,,
