7008;8831;1.0;
8224;8754;1.0;
5426;7869;1.0;
6316;7311;1.0;
4732;4911;1.0;
6339;7517;1.0;
9614;9678;1.0;
7350;8473;1.0;
10938;11125;1.0;
4292;8795;1.0;
4297;4306;1.0;
4297;8636;1.0;
4306;8636;1.0;
3678;4266;1.0;
4266;6690;1.0;
3678;6690;1.0;
10064;2819;1.0;
4291;4905;1.0;
4481;6716;1.0;
6722;7707;1.0;
3722;8453;1.0;
6719;8453;1.0;
3722;6719;1.0;
8919;9083;1.0;
6413;7975;0.9500000029802322;
7201;8536;1.0;
7606;8538;1.0;
4441;7515;1.0;
7671;8759;1.0;
100198;106489;1.0;
10253;10368;1.0;
11530;5099;1.0;
6771;8507;1.0;
8274;8805;1.0;
7346;7719;1.0;
4851;7708;1.0;
7852;8029;1.0;
10383;7852;1.0;
10383;8029;1.0;
9713;9738;1.0;
6802;9063;1.0;
5731;8779;1.0;
6272;7460;1.0;
5324;7847;1.0;
8043;8234;1.0;
7134;9695;1.0;
4178;7199;1.0;
2187;2418;1.0;
7061;7469;1.0;
10652;9640;1.0;
2004;3710;1.0;
5921;8423;1.0;
7361;7750;1.0;
8265;9149;1.0;
5912;8949;1.0;
8778;9060;1.0;
1858;9637;1.0;
5988;8859;1.0;
10107;7341;1.0;
7918;9172;1.0;
8311;8312;1.0;
2440;5443;1.0;
2571;9019;1.0;
2781;9669;1.0;
4508;9662;1.0;
3931;5754;1.0;
6568;9557;1.0;
6737;7722;1.0;
7404;7405;1.0;
2957;3106;1.0;
8114;8659;1.0;
4384;5657;1.0;
8668;8843;1.0;
3356;6955;1.0;
2252;4733;1.0;
