algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
0;2;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;3;0;0;0.978494623655914;0.6086956521739131;0.7505154639175258;186;0;0;182;4;47652900;117
0;3;1;76;0.9869565217391304;0.7591973244147158;0.8582230623818526;179;51;25;227;3;47652901;72
0;3;2;81;0.9869565217391304;0.7591973244147158;0.8582230623818526;174;56;25;227;3;47652901;72
0;3;3;130;0.9871244635193133;0.7692307692307693;0.8646616541353384;128;105;25;230;3;47652901;69
0;3;4;130;0.9871244635193133;0.7692307692307693;0.8646616541353384;128;105;25;230;3;47652901;69
0;3;5;161;0.988;0.8260869565217391;0.8998178506375227;128;122;39;247;3;47652901;52
0;3;6;161;0.988;0.8260869565217391;0.8998178506375227;128;122;39;247;3;47652901;52
0;3;7;252;0.9960474308300395;0.842809364548495;0.9130434782608696;103;150;102;252;1;47652903;47
0;3;8;252;0.9960474308300395;0.842809364548495;0.9130434782608696;103;150;102;252;1;47652903;47
0;3;9;300;0.9960474308300395;0.842809364548495;0.9130434782608696;55;198;102;252;1;47652903;47
0;3;10;300;0.9960474308300395;0.842809364548495;0.9130434782608696;55;198;102;252;1;47652903;47
0;3;11;300;0.9960474308300395;0.842809364548495;0.9130434782608696;55;198;102;252;1;47652903;47
0;3;12;388;0.9961240310077519;0.8595317725752508;0.9228007181328546;55;203;185;257;1;47652903;42
0;3;13;390;0.9961240310077519;0.8595317725752508;0.9228007181328546;55;203;187;257;1;47652903;42
0;3;14;390;0.9961240310077519;0.8595317725752508;0.9228007181328546;55;203;187;257;1;47652903;42
0;3;15;405;1.0;0.8595317725752508;0.9244604316546762;40;217;188;257;0;47652904;42
0;3;16;405;1.0;0.8595317725752508;0.9244604316546762;40;217;188;257;0;47652904;42
0;3;17;407;1.0;0.8595317725752508;0.9244604316546762;40;217;190;257;0;47652904;42
0;3;18;407;1.0;0.8595317725752508;0.9244604316546762;40;217;190;257;0;47652904;42
0;3;19;667;1.0;0.8595317725752508;0.9244604316546762;40;217;450;257;0;47652904;42
0;3;20;971;1.0;0.8662207357859532;0.9283154121863798;40;219;752;259;0;47652904;40
0;3;21;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;3;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;4;0;0;0.9785714285714285;0.45819397993311034;0.6241457858769931;140;0;0;137;3;47652901;162
0;4;1;44;0.9828571428571429;0.5752508361204013;0.7257383966244726;132;43;1;172;3;47652901;127
0;4;2;44;0.9828571428571429;0.5752508361204013;0.7257383966244726;132;43;1;172;3;47652901;127
0;4;3;172;0.9861111111111112;0.7123745819397993;0.8271844660194174;132;84;88;213;3;47652901;86
0;4;4;236;0.9880952380952381;0.8327759197324415;0.9038112522686025;128;124;112;249;3;47652901;50
0;4;5;237;0.9880952380952381;0.8327759197324415;0.9038112522686025;128;124;113;249;3;47652901;50
0;4;6;257;0.9883720930232558;0.8528428093645485;0.9156193895870736;128;130;127;255;3;47652901;44
0;4;7;285;0.9922178988326849;0.8528428093645485;0.9172661870503597;100;157;128;255;2;47652902;44
0;4;8;330;0.99609375;0.8528428093645485;0.9189189189189189;55;201;129;255;1;47652903;44
0;4;9;593;0.99609375;0.8528428093645485;0.9189189189189189;55;201;392;255;1;47652903;44
0;4;10;739;0.9962264150943396;0.882943143812709;0.9361702127659574;53;212;527;264;1;47652903;35
0;4;11;739;0.9962264150943396;0.882943143812709;0.9361702127659574;53;212;527;264;1;47652903;35
0;4;12;743;0.9962264150943396;0.882943143812709;0.9361702127659574;53;212;531;264;1;47652903;35
0;4;13;743;0.9962264150943396;0.882943143812709;0.9361702127659574;53;212;531;264;1;47652903;35
0;4;14;743;0.9962264150943396;0.882943143812709;0.9361702127659574;53;212;531;264;1;47652903;35
0;4;15;743;0.9962264150943396;0.882943143812709;0.9361702127659574;53;212;531;264;1;47652903;35
0;4;16;743;0.9962264150943396;0.882943143812709;0.9361702127659574;53;212;531;264;1;47652903;35
0;4;17;1041;0.9962406015037594;0.8862876254180602;0.9380530973451328;53;213;828;265;1;47652903;34
0;4;18;1094;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;873;266;1;47652903;33
0;4;19;1094;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;873;266;1;47652903;33
0;4;20;1094;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;873;266;1;47652903;33
0;4;21;1094;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;873;266;1;47652903;33
0;4;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;5;0;0;0.9785714285714285;0.45819397993311034;0.6241457858769931;140;0;0;137;3;47652901;162
0;5;1;24;0.98125;0.5250836120401338;0.6840958605664488;137;23;1;157;3;47652901;142
0;5;2;56;0.984375;0.6321070234113713;0.769857433808554;137;55;1;189;3;47652901;110
0;5;3;101;0.9871794871794872;0.7725752508361204;0.8667917448405253;135;99;2;231;3;47652901;68
0;5;4;109;0.9872881355932204;0.7792642140468228;0.8710280373831776;133;103;6;233;3;47652901;66
0;5;5;116;0.9873417721518988;0.782608695652174;0.873134328358209;133;104;12;234;3;47652901;65
0;5;6;128;0.9873949579831933;0.7859531772575251;0.8752327746741154;133;105;23;235;3;47652901;64
0;5;7;128;0.9873949579831933;0.7859531772575251;0.8752327746741154;133;105;23;235;3;47652901;64
0;5;8;405;0.9873949579831933;0.7859531772575251;0.8752327746741154;133;105;300;235;3;47652901;64
0;5;9;770;0.9883268482490273;0.8494983277591973;0.9136690647482015;133;124;646;254;3;47652901;45
0;5;10;909;0.9887640449438202;0.882943143812709;0.9328621908127207;130;137;772;264;3;47652901;35
0;5;11;921;0.9888059701492538;0.8862876254180602;0.9347442680776015;130;138;783;265;3;47652901;34
0;5;12;924;0.9888059701492538;0.8862876254180602;0.9347442680776015;127;141;783;265;3;47652901;34
0;5;13;944;0.9888059701492538;0.8862876254180602;0.9347442680776015;125;143;801;265;3;47652901;34
0;5;14;1001;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;803;265;1;47652903;34
0;5;15;1058;1.0;0.8896321070234113;0.9415929203539823;57;209;849;266;0;47652904;33
0;5;16;1058;1.0;0.8896321070234113;0.9415929203539823;57;209;849;266;0;47652904;33
0;5;17;1076;1.0;0.8896321070234113;0.9415929203539823;39;227;849;266;0;47652904;33
0;5;18;1076;1.0;0.8896321070234113;0.9415929203539823;39;227;849;266;0;47652904;33
0;5;19;1076;1.0;0.8896321070234113;0.9415929203539823;39;227;849;266;0;47652904;33
0;5;20;1076;1.0;0.8896321070234113;0.9415929203539823;39;227;849;266;0;47652904;33
0;5;21;1076;1.0;0.8896321070234113;0.9415929203539823;39;227;849;266;0;47652904;33
0;5;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;6;0;0;0.4025157232704403;0.6421404682274248;0.49484536082474234;477;0;0;192;285;47652619;107
0;6;1;330;0.9871794871794872;0.7725752508361204;0.8667917448405253;187;47;283;231;3;47652901;68
0;6;2;504;0.9883268482490273;0.8494983277591973;0.9136690647482015;174;83;421;254;3;47652901;45
0;6;3;520;0.9883268482490273;0.8494983277591973;0.9136690647482015;158;99;421;254;3;47652901;45
0;6;4;552;0.9883720930232558;0.8528428093645485;0.9156193895870736;127;131;421;255;3;47652901;44
0;6;5;904;0.9887218045112782;0.8795986622073578;0.9309734513274337;127;139;765;263;3;47652901;36
0;6;6;963;0.9962121212121212;0.8795986622073578;0.9342806394316163;68;196;767;263;1;47652903;36
0;6;7;969;0.9962264150943396;0.882943143812709;0.9361702127659574;68;197;772;264;1;47652903;35
0;6;8;969;0.9962264150943396;0.882943143812709;0.9361702127659574;68;197;772;264;1;47652903;35
0;6;9;981;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;783;265;1;47652903;34
0;6;10;983;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;785;265;1;47652903;34
0;6;11;1040;1.0;0.8896321070234113;0.9415929203539823;57;209;831;266;0;47652904;33
0;6;12;1040;1.0;0.8896321070234113;0.9415929203539823;57;209;831;266;0;47652904;33
0;6;13;1040;1.0;0.8896321070234113;0.9415929203539823;57;209;831;266;0;47652904;33
0;6;14;1040;1.0;0.8896321070234113;0.9415929203539823;57;209;831;266;0;47652904;33
0;6;15;1040;1.0;0.8896321070234113;0.9415929203539823;57;209;831;266;0;47652904;33
0;6;16;1040;1.0;0.8896321070234113;0.9415929203539823;57;209;831;266;0;47652904;33
0;6;17;1065;1.0;0.8896321070234113;0.9415929203539823;57;209;856;266;0;47652904;33
0;6;18;1065;1.0;0.8896321070234113;0.9415929203539823;57;209;856;266;0;47652904;33
0;6;19;1084;1.0;0.8896321070234113;0.9415929203539823;39;227;857;266;0;47652904;33
0;6;20;1084;1.0;0.8896321070234113;0.9415929203539823;39;227;857;266;0;47652904;33
0;6;21;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;6;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;7;0;0;0.9866666666666667;0.24749163879598662;0.39572192513368987;75;0;0;74;1;47652903;225
0;7;1;162;0.9956331877729258;0.7625418060200669;0.8636363636363638;70;159;3;228;1;47652903;71
0;7;2;243;1.0;0.7859531772575251;0.8801498127340823;58;177;66;235;0;47652904;64
0;7;3;274;1.0;0.8294314381270903;0.9067641681901281;58;190;84;248;0;47652904;51
0;7;4;274;1.0;0.8294314381270903;0.9067641681901281;58;190;84;248;0;47652904;51
0;7;5;274;1.0;0.8294314381270903;0.9067641681901281;58;190;84;248;0;47652904;51
0;7;6;274;1.0;0.8294314381270903;0.9067641681901281;58;190;84;248;0;47652904;51
0;7;7;274;1.0;0.8294314381270903;0.9067641681901281;58;190;84;248;0;47652904;51
0;7;8;274;1.0;0.8294314381270903;0.9067641681901281;58;190;84;248;0;47652904;51
0;7;9;274;1.0;0.8294314381270903;0.9067641681901281;58;190;84;248;0;47652904;51
0;7;10;275;1.0;0.8294314381270903;0.9067641681901281;58;190;85;248;0;47652904;51
0;7;11;662;1.0;0.862876254180602;0.9263913824057451;58;200;462;258;0;47652904;41
0;7;12;662;1.0;0.862876254180602;0.9263913824057451;58;200;462;258;0;47652904;41
0;7;13;662;1.0;0.862876254180602;0.9263913824057451;58;200;462;258;0;47652904;41
0;7;14;907;1.0;0.862876254180602;0.9263913824057451;58;200;707;258;0;47652904;41
0;7;15;908;1.0;0.862876254180602;0.9263913824057451;58;200;708;258;0;47652904;41
0;7;16;933;1.0;0.862876254180602;0.9263913824057451;58;200;733;258;0;47652904;41
0;7;17;934;1.0;0.862876254180602;0.9263913824057451;58;200;734;258;0;47652904;41
0;7;18;953;1.0;0.862876254180602;0.9263913824057451;40;218;735;258;0;47652904;41
0;7;19;953;1.0;0.862876254180602;0.9263913824057451;40;218;735;258;0;47652904;41
0;7;20;953;1.0;0.862876254180602;0.9263913824057451;40;218;735;258;0;47652904;41
0;7;21;1084;1.0;0.8896321070234113;0.9415929203539823;39;227;857;266;0;47652904;33
0;7;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;8;0;0;0.9823788546255506;0.745819397993311;0.8479087452471482;227;0;0;223;4;47652900;76
0;8;1;131;0.991304347826087;0.7625418060200669;0.8620037807183366;101;129;2;228;2;47652902;71
0;8;2;165;0.9918367346938776;0.8127090301003345;0.8933823529411764;101;144;21;243;2;47652902;56
0;8;3;261;0.9920948616600791;0.8394648829431438;0.9094202898550724;101;152;109;251;2;47652902;48
0;8;4;265;0.9920948616600791;0.8394648829431438;0.9094202898550724;101;152;113;251;2;47652902;48
0;8;5;265;0.9920948616600791;0.8394648829431438;0.9094202898550724;101;152;113;251;2;47652902;48
0;8;6;265;0.9920948616600791;0.8394648829431438;0.9094202898550724;101;152;113;251;2;47652902;48
0;8;7;342;0.9960629921259843;0.8461538461538461;0.91500904159132;82;172;170;253;1;47652903;46
0;8;8;342;0.9960629921259843;0.8461538461538461;0.91500904159132;82;172;170;253;1;47652903;46
0;8;9;671;0.9961389961389961;0.862876254180602;0.9247311827956988;82;177;494;258;1;47652903;41
0;8;10;671;0.9961389961389961;0.862876254180602;0.9247311827956988;82;177;494;258;1;47652903;41
0;8;11;671;0.9961389961389961;0.862876254180602;0.9247311827956988;82;177;494;258;1;47652903;41
0;8;12;671;0.9961389961389961;0.862876254180602;0.9247311827956988;82;177;494;258;1;47652903;41
0;8;13;671;0.9961389961389961;0.862876254180602;0.9247311827956988;82;177;494;258;1;47652903;41
0;8;14;706;0.9961389961389961;0.862876254180602;0.9247311827956988;48;211;495;258;1;47652903;41
0;8;15;724;0.9961538461538462;0.8662207357859532;0.9266547406082289;48;212;512;259;1;47652903;40
0;8;16;724;0.9961538461538462;0.8662207357859532;0.9266547406082289;48;212;512;259;1;47652903;40
0;8;17;724;0.9961538461538462;0.8662207357859532;0.9266547406082289;48;212;512;259;1;47652903;40
0;8;18;724;0.9961538461538462;0.8662207357859532;0.9266547406082289;48;212;512;259;1;47652903;40
0;8;19;963;0.9961538461538462;0.8662207357859532;0.9266547406082289;48;212;751;259;1;47652903;40
0;8;20;963;0.9961538461538462;0.8662207357859532;0.9266547406082289;48;212;751;259;1;47652903;40
0;8;21;1094;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;873;266;1;47652903;33
0;8;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;9;0;0;0.9825581395348837;0.5652173913043478;0.7176220806794056;172;0;0;169;3;47652901;130
0;9;1;40;0.9853658536585366;0.6755852842809364;0.8015873015873015;167;38;2;202;3;47652901;97
0;9;2;83;0.986784140969163;0.7491638795986622;0.8517110266159694;151;76;7;224;3;47652901;75
0;9;3;246;0.9880478087649402;0.8294314381270903;0.9018181818181819;148;103;143;248;3;47652901;51
0;9;4;261;0.9881889763779528;0.8394648829431438;0.9077757685352621;148;106;155;251;3;47652901;48
0;9;5;261;0.9881889763779528;0.8394648829431438;0.9077757685352621;148;106;155;251;3;47652901;48
0;9;6;261;0.9881889763779528;0.8394648829431438;0.9077757685352621;148;106;155;251;3;47652901;48
0;9;7;264;0.9882352941176471;0.842809364548495;0.9097472924187726;146;109;155;252;3;47652901;47
0;9;8;654;0.9888059701492538;0.8862876254180602;0.9347442680776015;146;122;532;265;3;47652901;34
0;9;9;907;0.9888059701492538;0.8862876254180602;0.9347442680776015;142;126;781;265;3;47652901;34
0;9;10;932;0.9888059701492538;0.8862876254180602;0.9347442680776015;142;126;806;265;3;47652901;34
0;9;11;976;0.9925093632958801;0.8862876254180602;0.9363957597173144;98;169;807;265;2;47652902;34
0;9;12;976;0.9925093632958801;0.8862876254180602;0.9363957597173144;98;169;807;265;2;47652902;34
0;9;13;976;0.9925093632958801;0.8862876254180602;0.9363957597173144;98;169;807;265;2;47652902;34
0;9;14;1041;0.9962546816479401;0.8896321070234113;0.9399293286219081;79;188;853;266;1;47652903;33
0;9;15;1075;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;854;266;1;47652903;33
0;9;16;1076;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;855;266;1;47652903;33
0;9;17;1076;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;855;266;1;47652903;33
0;9;18;1076;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;855;266;1;47652903;33
0;9;19;1093;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;872;266;1;47652903;33
0;9;20;1094;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;873;266;1;47652903;33
0;9;21;1094;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;873;266;1;47652903;33
0;9;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;10;0;0;0.4025157232704403;0.6421404682274248;0.49484536082474234;477;0;0;192;285;47652619;107
0;10;1;343;0.9864253393665159;0.7290969899665551;0.8384615384615385;166;55;288;218;3;47652901;81
0;10;2;528;0.98828125;0.8461538461538461;0.9117117117117116;153;103;425;253;3;47652901;46
0;10;3;534;0.9883268482490273;0.8494983277591973;0.9136690647482015;148;109;425;254;3;47652901;45
0;10;4;555;0.9884615384615385;0.8595317725752508;0.9194991055456171;141;119;436;257;3;47652901;42
0;10;5;564;0.9884615384615385;0.8595317725752508;0.9194991055456171;132;128;436;257;3;47652901;42
0;10;6;646;0.9961389961389961;0.862876254180602;0.9247311827956988;104;155;491;258;1;47652903;41
0;10;7;670;0.9961389961389961;0.862876254180602;0.9247311827956988;80;179;491;258;1;47652903;41
0;10;8;670;0.9961389961389961;0.862876254180602;0.9247311827956988;80;179;491;258;1;47652903;41
0;10;9;670;0.9961389961389961;0.862876254180602;0.9247311827956988;80;179;491;258;1;47652903;41
0;10;10;1004;0.9962264150943396;0.882943143812709;0.9361702127659574;80;185;819;264;1;47652903;35
0;10;11;1004;0.9962264150943396;0.882943143812709;0.9361702127659574;80;185;819;264;1;47652903;35
0;10;12;1016;0.9962406015037594;0.8862876254180602;0.9380530973451328;80;186;830;265;1;47652903;34
0;10;13;1041;0.9962406015037594;0.8862876254180602;0.9380530973451328;80;186;855;265;1;47652903;34
0;10;14;1041;0.9962406015037594;0.8862876254180602;0.9380530973451328;80;186;855;265;1;47652903;34
0;10;15;1041;0.9962406015037594;0.8862876254180602;0.9380530973451328;80;186;855;265;1;47652903;34
0;10;16;1041;0.9962406015037594;0.8862876254180602;0.9380530973451328;80;186;855;265;1;47652903;34
0;10;17;1076;0.9962406015037594;0.8862876254180602;0.9380530973451328;46;220;856;265;1;47652903;34
0;10;18;1083;1.0;0.8862876254180602;0.9397163120567376;39;226;857;265;0;47652904;34
0;10;19;1083;1.0;0.8862876254180602;0.9397163120567376;39;226;857;265;0;47652904;34
0;10;20;1084;1.0;0.8896321070234113;0.9415929203539823;39;227;857;266;0;47652904;33
